x,y,z
-39.4947,160.318,4.01684
-41.7517,160.311,4.77783
-41.3307,160.309,5.96566
-41.779,160.312,3.6415
-41.5541,160.314,2.62999
-41.2183,160.315,1.81664
-40.913,160.316,1.27483
-40.7799,160.316,1.07793
-40.3515,160.316,1.07793
-39.9231,160.316,1.07793
-39.4947,160.316,1.07793
-39.0663,160.316,1.07793
-38.6379,160.316,1.07793
-38.2095,160.316,1.07793
-38.0763,160.316,1.27483
-37.7711,160.315,1.81664
-37.4352,160.314,2.62999
-37.2103,160.312,3.6415
-37.2376,160.311,4.77783
-37.6586,160.309,5.96566
-38.124,160.309,6.48416
-38.7653,160.308,6.79525
-39.4947,160.308,6.89894
-40.224,160.308,6.79525
-40.8653,160.309,6.48417
-45.0137,89.2639,6.41775
-46.2795,89.2746,3.96208
-52.1361,85.4059,1.47105
-49.7778,85.4059,6.03822
-46.3616,89.2849,1.61293
-52.2891,85.4059,-2.89735
-45.6853,89.294,-0.478146
-51.0291,85.4059,-6.78532
-44.6758,89.3013,-2.15953
-49.1482,85.4059,-9.91118
-43.7583,89.3062,-3.27956
-47.4387,85.4059,-11.9933
-43.358,89.308,-3.68659
-46.6929,85.4059,-12.7499
-42.0702,89.308,-3.6866
-44.2934,85.4059,-12.7499
-40.7824,89.308,-3.6866
-41.894,85.4059,-12.7499
-39.4946,89.308,-3.68659
-39.4946,85.4059,-12.7499
-38.2068,89.308,-3.68659
-37.0952,85.4059,-12.7499
-36.919,89.308,-3.68659
-34.6958,85.4059,-12.7499
-35.6313,89.308,-3.68659
-32.2964,85.4059,-12.7499
-35.2309,89.3062,-3.27956
-31.5505,85.4059,-11.9933
-34.3134,89.3013,-2.15953
-29.8411,85.4059,-9.91118
-33.304,89.294,-0.478146
-27.9602,85.4059,-6.78532
-32.6277,89.2849,1.61293
-26.7002,85.4059,-2.89735
-32.7098,89.2746,3.96207
-26.8532,85.4059,1.47105
-33.9755,89.2639,6.41775
-29.2115,85.4059,6.03822
-35.3743,89.2592,7.48971
-31.8177,85.4059,8.03211
-37.3022,89.2564,8.13285
-35.4098,85.4059,9.22844
-39.4946,89.2555,8.34723
-39.4946,85.4059,9.62722
-41.687,89.2564,8.13285
-43.5795,85.4059,9.22845
-43.6149,89.2592,7.48971
-47.1715,85.4059,8.03211
-54.7465,78.1088,0.126897
-51.9013,78.1088,6.49914
-54.9311,78.1088,-5.96803
-53.4109,78.1088,-11.3926
-51.1416,78.1088,-15.7539
-49.0792,78.1088,-18.6589
-48.1793,78.1088,-19.7146
-45.2844,78.1088,-19.7146
-42.3895,78.1088,-19.7146
-39.4946,78.1088,-19.7146
-36.5998,78.1088,-19.7146
-33.7049,78.1088,-19.7146
-30.81,78.1088,-19.7146
-29.9101,78.1088,-18.6589
-27.8476,78.1088,-15.7539
-25.5784,78.1088,-11.3926
-24.0581,78.1088,-5.96803
-24.2427,78.1088,0.126893
-27.088,78.1088,6.49914
-30.2325,78.1088,9.28107
-34.5662,78.1088,10.9502
-39.4946,78.1088,11.5066
-44.423,78.1088,10.9502
-48.7568,78.1088,9.28107
-56.7929,70.8118,-0.902322
-53.5659,70.8118,6.9527
-57.0023,70.8118,-8.4155
-55.2781,70.8118,-15.1024
-52.7044,70.8118,-20.4785
-50.3652,70.8118,-24.0595
-49.3445,70.8118,-25.3608
-46.0612,70.8118,-25.3608
-42.7779,70.8118,-25.3608
-39.4946,70.8118,-25.3608
-36.2113,70.8118,-25.3608
-32.928,70.8118,-25.3608
-29.6448,70.8118,-25.3608
-28.6241,70.8118,-24.0595
-26.2849,70.8118,-20.4785
-23.7112,70.8118,-15.1024
-21.987,70.8118,-8.4155
-22.1964,70.8118,-0.902328
-25.4234,70.8118,6.9527
-28.9897,70.8118,10.382
-33.905,70.8118,12.4395
-39.4946,70.8118,13.1254
-45.0843,70.8118,12.4395
-49.9995,70.8118,10.382
-58.4296,63.5147,-1.62733
-54.8973,63.5147,7.34978
-58.6588,63.5147,-10.2138
-56.7715,63.5147,-17.8559
-53.9542,63.5147,-24
-51.3937,63.5147,-28.0925
-50.2765,63.5147,-29.5796
-46.6825,63.5147,-29.5796
-43.0886,63.5147,-29.5796
-39.4946,63.5147,-29.5796
-35.9007,63.5147,-29.5796
-32.3067,63.5147,-29.5796
-28.7128,63.5147,-29.5796
-27.5956,63.5147,-28.0925
-25.035,63.5147,-24
-22.2178,63.5147,-17.8559
-20.3305,63.5147,-10.2138
-20.5596,63.5147,-1.62733
-24.092,63.5147,7.34978
-27.9958,63.5147,11.2689
-33.3761,63.5147,13.6204
-45.6132,63.5147,13.6204
-39.3254,71.9492,20.7563
-44.8015,65.4183,20.7563
-39.3254,65.4183,20.7563
-50.9934,63.5147,11.2689
-59.7227,56.2176,-2.08048
-55.9491,56.2176,7.58653
-59.9676,56.2176,-11.3268
-57.9513,56.2176,-19.5562
-54.9417,56.2177,-26.1725
-52.2063,56.2177,-30.5795
-51.0128,56.2177,-32.1809
-47.1734,56.2177,-32.1809
-43.334,56.2177,-32.1809
-39.4946,56.2177,-32.1809
-35.6552,56.2176,-32.1809
-31.8159,56.2177,-32.1809
-27.9765,56.2177,-32.1809
-26.783,56.2177,-30.5795
-24.0476,56.2177,-26.1725
-21.0379,56.2177,-19.5562
-19.0217,56.2177,-11.3268
-19.2665,56.2177,-2.08049
-23.0401,56.2177,7.58652
-27.2105,56.2177,11.8069
-32.9582,56.2177,14.3391
-33.8493,65.4183,20.7563
-39.3254,58.8874,20.7563
-33.4753,58.8874,20.7563
-45.1754,58.8874,20.7563
-39.4946,63.5147,14.4042
-46.031,56.2176,14.3391
-39.4946,56.2177,15.1831
-51.7787,56.2176,11.8069
-60.6977,48.9206,-2.54943
-56.7422,48.9206,7.20533
-60.9543,48.9206,-11.8797
-58.8409,48.9206,-20.1838
-55.6862,48.9206,-26.8601
-52.819,48.9206,-31.3071
-56.2463,51.5313,-43.9561
-55.9277,51.5313,-43.9561
-56.0759,47.1242,-43.9561
-56.4099,47.1242,-43.9561
-47.5435,48.9206,-32.9231
-51.5679,48.9206,-32.9231
-43.5191,48.9206,-32.9231
-39.4946,48.9206,-32.9231
-35.4702,48.9206,-32.9231
-31.4458,48.9206,-32.9231
-27.4213,48.9206,-32.9231
-23.0617,51.5313,-43.9561
-22.743,51.5313,-43.9561
-22.5795,47.1242,-43.9561
-22.9135,47.1242,-43.9561
-23.303,48.9206,-26.8601
-26.1703,48.9206,-31.3071
-20.1483,48.9206,-20.1838
-18.0349,48.9206,-11.8797
-18.2916,48.9206,-2.54943
-22.247,48.9206,7.20533
-26.6184,48.9206,11.464
-32.6432,48.9206,14.0192
-39.3254,52.3565,20.7563
-33.1933,52.3565,20.7563
-45.4574,52.3565,20.7563
-46.3461,48.9206,14.0192
-39.4946,48.9206,14.8709
-52.3708,48.9206,11.464
-61.3504,41.6235,-3.69994
-57.2732,41.6235,5.69465
-61.6149,41.6235,-12.6857
-59.4365,41.6235,-20.6832
-56.1846,41.6235,-27.113
-53.2291,41.6235,-31.3958
-51.9396,41.6235,-32.9522
-47.7913,41.6235,-32.9522
-43.643,41.6235,-32.9522
-39.4946,41.6235,-32.9522
-35.3463,41.6235,-32.9522
-31.198,41.6235,-32.9522
-27.0497,41.6235,-32.9522
-25.7601,41.6235,-31.3958
-22.8046,41.6235,-27.113
-19.5528,41.6235,-20.6832
-17.3743,41.6235,-12.6857
-17.6389,41.6236,-3.69994
-21.7161,41.6235,5.69465
